transcript_id,ENCLB117FKX,ENCLB129EAK,ENCLB597ZOR,ENCLB925FOQ
FBsf0000917991,0,0,0,0
FBtr0343844,36,25,572,1
FBtr0343839,0,0,862,89
FBsf0000915814,0,0,0,0
FBtr0343838,0,0,174,1211
FBtr0077926,55,50,148,0
FBtr0077941,0,0,0,0
FBtr0329985,0,7,43,0
FBsf0000919358,0,0,0,0
FBtr0343843,5,1,2,0
FBtr0343840,10,3,71,121
FBsf0000910510,0,0,0,0
FBsf0000916378,0,0,0,0
FBsf0000762553,0,0,0,0
FBtr0334817,6,11,0,0
FBtr0077929,3,0,0,0
FBsf0000916424,0,0,0,0
FBsf0000916423,0,0,0,0
FBsf0000589019,0,0,0,0
FBsf0000589018,0,0,0,0
FBtr0077930,7,0,3,0
FBsf0000770427,0,0,0,0
FBtr0334818,24,0,0,0
FBtr0077931,27,45,0,0
FBsf0000916288,0,0,0,0
FBtr0077938,0,0,287,159
FBtr0077939,0,0,944,1290
FBtr0077937,0,0,0,0
FBtr0077936,0,0,0,0
FBtr0334821,0,0,297,65
FBsf0000916113,0,0,0,0
FBtr0077932,44,49,0,0
FBsf0000588850,1,1,0,0
FBtr0334822,17,0,1003,1170
FBtr0334819,0,0,0,0
FBsf0000917127,0,0,0,0
FBtr0334820,3,0,23,3
FBtr0077933,139,140,0,55
FBsf0000917126,1,1,0,1
FBtr0310017,0,0,0,0
FBtr0310018,0,0,0,0
FBtr0344146,0,0,0,0
FBtr0474152,0,0,0,0
FBtr0474153,0,0,0,0
FBtr0474154,0,0,0,0
FBtr0310019,0,0,0,0
FBtr0077917,0,0,8109,9927
FBsf0000919243,0,0,0,0
FBsf0000919244,0,0,0,0
FBsf0000765274_1,0,0,1,0
FBsf0000765274_2,0,0,1,0
FBsf0000765275_1,0,0,0,0
FBsf0000765275_2,0,0,0,0
FBsf0000919036,0,0,0,0
FBsf0000918285,0,0,0,0
FBsf0000588176,0,0,0,0
FBsf0000918276,0,0,0,0
